gene,locus,sample_1,sample_2,status,value_1,value_2,log2.fold_change.,test_stat,p_value,q_value
ST6GALNAC1,chr17:74620844-74639894,E3,E4,NOTEST,0,0,0,0,1,1
ST6GALNAC2,chr17:74561460-74582145,E3,E4,OK,1.85932,4.98611,1.42314,6.07803,5.00E-05,0.000167183
ST6GALNAC3,chr1:76540388-77096669,E3,E4,OK,9.91503,23.2639,1.2304,7.18858,5.00E-05,0.000167183
ST6GALNAC4,chr9:130670164-130679305,E3,E4,OK,8.71574,9.58437,0.137059,0.741875,0.1986,0.293891
ST6GALNAC5,chr1:77333185-77529737,E3,E4,OK,0.373586,5.07036,3.76258,9.62112,5.00E-05,0.000167183
ST6GALNAC6,chr9:130647600-130661871,E3,E4,OK,18.4386,20.9099,0.181452,1.16505,0.0423,0.0791683
ST7,chr7:116592500-116870075,E3,E4,OK,12.4705,10.7488,-0.21434,-1.1872,0.03725,0.0707605
ST7-AS1,chr7:116592500-116870075,E3,E4,OK,2.27729,1.39385,-0.708243,-1.39023,0.019,0.0390075
ST7-AS2,chr7:116592500-116870075,E3,E4,NOTEST,0.212981,0.392617,0.882396,0,1,1
ST7-OT3,chr7:116592500-116870075,E3,E4,OK,0.467728,0.14514,-1.68823,-0.829029,0.1848,0.27777
ST7-OT4,chr7:116592500-116870075,E3,E4,OK,0.532896,0.230449,-1.2094,-0.818854,0.1689,0.257876
ST7L,chr1:113066140-113162040,E3,E4,OK,4.39452,4.50678,0.0363945,0.186466,0.74785,0.822951
ST8SIA1,chr12:22346324-22487648,E3,E4,OK,0.51422,1.08532,1.07767,4.94063,5.00E-05,0.000167183
ST8SIA2,chr15:92937139-93011958,E3,E4,OK,5.49192,9.38971,0.773771,4.9057,5.00E-05,0.000167183
ST8SIA3,chr18:55019720-55036161,E3,E4,NOTEST,0.0174003,0.370915,4.4139,0,1,1
ST8SIA4,chr5:100142638-100238987,E3,E4,OK,4.97132,20.2448,2.02585,11.0309,5.00E-05,0.000167183
ST8SIA5,chr18:44259080-44337039,E3,E4,OK,0.878856,6.83514,2.95927,12.1642,5.00E-05,0.000167183
ST8SIA6,chr10:17362675-17496254,E3,E4,NOTEST,0,0,0,0,1,1
ST8SIA6-AS1,chr10:17362675-17496254,E3,E4,NOTEST,0,0,0,0,1,1
STAB1,chr3:52529355-52569093,E3,E4,NOTEST,0,0.00148275,Inf,0,1,1
STAB2,chr12:103981068-104160502,E3,E4,NOTEST,0.0264089,0.00565951,-2.22227,0,1,1
STAC,chr3:36422096-36589496,E3,E4,OK,1.22028,4.34308,1.83151,7.85451,5.00E-05,0.000167183
STAC2,chr17:37366788-37382040,E3,E4,OK,0.599862,0.713427,0.250137,0.823455,0.15025,0.233822
STAC3,chr12:57637241-57644969,E3,E4,OK,0.639579,0.462082,-0.468972,-0.985403,0.0975,0.162698
STAG1,chr3:136055998-136471245,E3,E4,OK,8.23731,7.28823,-0.176606,-1.12154,0.05065,0.0924248
STAG2,chrX:123094474-123236505,E3,E4,OK,30.435,19.3501,-0.653386,-4.4506,5.00E-05,0.000167183
STAG3,chr7:99775537-99869855,E3,E4,OK,0.55943,0.543143,-0.0426263,-0.0594693,0.9175,0.94393
STAG3L1,chr7:74988428-74996914,E3,E4,NOTEST,0.292992,0.270953,-0.11282,0,1,1
STAG3L2,chr7:74298262-74306731,E3,E4,OK,3.15255,2.34372,-0.427721,-1.6876,0.00415,0.00998964
STAG3L3,chr7:72467988-72476448,E3,E4,OK,1.26123,0.890267,-0.502521,-1.58734,0.00765,0.0173446
STAG3L4,chr7:66767624-66786513,E3,E4,OK,7.65185,7.24408,-0.0790073,-0.435355,0.4514,0.565514
STAM,chr10:17686123-17758821,E3,E4,OK,12.1416,10.7194,-0.179729,-1.15448,0.04355,0.0812761
STAM2,chr2:152973314-153032506,E3,E4,OK,8.77912,7.81725,-0.167416,-1.07996,0.0566,0.101939
STAMBP,chr2:74056042-74094295,E3,E4,OK,12.3906,13.8525,0.160898,1.07138,0.0627,0.111293
STAMBPL1,chr10:90639943-90683259,E3,E4,OK,1.6918,3.07485,0.861955,3.42106,5.00E-05,0.000167183
STAP1,chr4:68424445-68472616,E3,E4,NOTEST,0,0.0118819,Inf,0,1,1
STAP2,chr19:4324039-4338847,E3,E4,OK,6.56142,8.46792,0.368001,1.83012,0.00175,0.00459246
STAR,chr8:38000217-38008600,E3,E4,OK,0.648169,0.53638,-0.273116,-0.788707,0.1754,0.265998
STARD10,chr11:72465773-72504750,E3,E4,OK,7.14186,5.70327,-0.324511,-1.69937,0.0036,0.00877765
STARD13,chr13:33677271-34250932,E3,E4,OK,1.05661,3.37313,1.67464,7.26443,5.00E-05,0.000167183
STARD13-AS,chr13:33677271-34250932,E3,E4,NOTEST,0.296688,0.263799,-0.169507,0,1,1
STARD3,chr17:37793332-37820454,E3,E4,OK,48.4055,15.9049,-1.6057,-10.6409,5.00E-05,0.000167183
STARD3NL,chr7:38217807-38270272,E3,E4,OK,65.5575,56.3374,-0.218667,-1.47103,0.0096,0.0212676
STARD4,chr5:110834021-111353003,E3,E4,OK,22.9844,22.5617,-0.0267783,-0.082712,0.88575,0.922593
STARD4-AS1,chr5:110834021-111353003,E3,E4,OK,1.21821,2.10865,0.791559,1.085,0.0596,0.106555
STARD5,chr15:81489218-81616524,E3,E4,OK,0.257178,0.605508,1.23538,1.74561,0.0081,0.0182443
STARD6,chr18:51851061-51880943,E3,E4,NOTEST,0.207365,0.0924357,-1.16565,0,1,1
STARD7,chr2:96850602-96908362,E3,E4,OK,59.7223,49.8257,-0.261379,-1.74711,0.00215,0.00554578
STARD8,chrX:67867510-67945684,E3,E4,NOTEST,0.016549,0.144466,3.12592,0,1,1
STARD9,chr15:42867856-43013196,E3,E4,OK,4.50219,2.84027,-0.664596,-4.33851,5.00E-05,0.000167183
STAT1,chr2:191833761-191878976,E3,E4,OK,29.3729,38.0814,0.3746,2.52427,5.00E-05,0.000167183
STAT2,chr12:56735381-56754037,E3,E4,OK,60.029,42.3164,-0.504442,-3.46302,5.00E-05,0.000167183
STAT3,chr17:40465342-40540513,E3,E4,OK,71.8127,81.2635,0.178369,1.22748,0.0326,0.0629247
STAT4,chr2:191894301-192016322,E3,E4,NOTEST,0.211501,0.417374,0.98068,0,1,1
STAT5A,chr17:40439564-40463960,E3,E4,OK,0.749038,0.666385,-0.168683,-0.604285,0.29075,0.399775
STAT5B,chr17:40351194-40428424,E3,E4,OK,13.5071,11.1267,-0.279692,-1.84031,0.001,0.00274895
STAT6,chr12:57482676-57505196,E3,E4,OK,2.24774,1.962,-0.196151,-0.263779,0.65465,0.748086
STATH,chr4:70861647-70868173,E3,E4,NOTEST,0,0,0,0,1,1
STAU1,chr20:47729875-47804904,E3,E4,OK,62.8922,50.0324,-0.330019,-2.23232,5.00E-05,0.000167183
STAU2,chr8:74332308-74659943,E3,E4,OK,28.1242,24.4969,-0.199213,-1.30654,0.025,0.0499009
STAU2-AS1,chr8:74332308-74659943,E3,E4,NOTEST,0.333328,0.332255,-0.00464885,0,1,1
STBD1,chr4:77135192-77232283,E3,E4,OK,3.62559,4.42104,0.286171,1.22334,0.0343,0.0657021
STC1,chr8:23699433-23712320,E3,E4,NOTEST,0.0456038,0.206162,2.17655,0,1,1
STC2,chr5:172741725-172756506,E3,E4,OK,0.480328,1.23755,1.36539,5.349,5.00E-05,0.000167183
STEAP1,chr7:89783688-89794141,E3,E4,OK,0.381095,3.18763,3.06426,6.01811,5.00E-05,0.000167183
STEAP1B,chr7:22459062-22539901,E3,E4,NOTEST,0,0.0339919,Inf,0,1,1
STEAP2,chr7:89840999-89866992,E3,E4,OK,1.72935,3.77908,1.1278,5.10491,5.00E-05,0.000167183
STEAP3,chr2:119981383-120023227,E3,E4,OK,18.9238,4.09783,-2.20727,-13.2917,5.00E-05,0.000167183
STEAP4,chr7:87905743-87936228,E3,E4,OK,0.359705,0.452084,0.329778,0.932769,0.09555,0.159868
STH,chr17_ctg5_hap1:762280-946818,E3,E4,NOTEST,0,0.0592139,Inf,0,1,1
STIL,chr1:47715810-47779819,E3,E4,OK,1.55115,1.81334,0.225312,1.09142,0.05645,0.101754
STIM1,chr11:3876932-4114440,E3,E4,OK,69.8688,33.1669,-1.0749,-7.34537,5.00E-05,0.000167183
STIM2,chr4:26862312-27027003,E3,E4,OK,3.19133,3.57584,0.164124,0.931492,0.1047,0.172765
STIP1,chr11:63953586-63972020,E3,E4,OK,112.795,117.681,0.0611735,0.420316,0.46455,0.578342
STK10,chr5:171469073-171615346,E3,E4,OK,5.27706,8.28252,0.650336,4.12045,5.00E-05,0.000167183
STK11,chr19:1205797-1228434,E3,E4,OK,17.7914,16.5113,-0.107726,-0.703026,0.2103,0.308035
STK11IP,chr2:220462595-220481173,E3,E4,OK,3.94504,3.70463,-0.0907098,-0.489753,0.38755,0.501672
STK16,chr2:220110191-220136910,E3,E4,OK,6.68211,6.72088,0.0083454,0.046481,0.93655,0.956568
STK17A,chr7:43622691-43666978,E3,E4,OK,9.80687,19.9556,1.02493,6.64537,5.00E-05,0.000167183
STK17B,chr2:196998306-197036336,E3,E4,OK,11.6519,5.08976,-1.1949,-7.54095,5.00E-05,0.000167183
STK19,chr6_ssto_hap7:3306068-3368931,E3,E4,NOTEST,0,0,0,0,1,1
STK24,chr13:99102454-99229396,E3,E4,OK,22.5525,15.7438,-0.518501,-3.47204,5.00E-05,0.000167183
STK25,chr2:242295663-242448987,E3,E4,OK,45.9271,58.0688,0.338417,2.17627,0.00015,0.000473552
STK3,chr8:99466858-99954799,E3,E4,OK,8.22708,8.13153,-0.0168535,-0.0997745,0.86315,0.90662
STK31,chr7:23749785-23872130,E3,E4,NOTEST,0.0386915,0.038213,-0.0179531,0,1,1
STK32A,chr5:146614578-146763768,E3,E4,OK,3.29918,3.93642,0.254776,0.945504,0.09415,0.15798
STK32B,chr4:5053526-5502725,E3,E4,OK,3.66628,2.23135,-0.716399,-3.48385,5.00E-05,0.000167183
STK32C,chr10:134020995-134121477,E3,E4,OK,3.79986,3.65634,-0.0555458,-0.259623,0.6445,0.739398
STK33,chr11:8413417-8615503,E3,E4,OK,13.7469,13.7847,0.00396787,0.0249175,0.96625,0.977252
STK35,chr20:2082527-2129198,E3,E4,OK,6.12762,6.26374,0.031698,0.201368,0.7219,0.802229
STK36,chr2:219528586-219567440,E3,E4,OK,9.26002,11.6219,0.327759,1.70723,0.003,0.00748266
STK38,chr6:36461668-36515247,E3,E4,OK,10.7935,22.3005,1.04691,6.78938,5.00E-05,0.000167183
STK38L,chr12:27397077-27478890,E3,E4,OK,9.75491,14.6822,0.589867,3.87151,5.00E-05,0.000167183
STK39,chr2:168810529-169104105,E3,E4,OK,43.9156,18.7841,-1.22522,-8.18466,5.00E-05,0.000167183
STK4,chr20:43595119-43708593,E3,E4,OK,7.18553,5.92989,-0.277089,-1.76523,0.0024,0.00612887
STK4-AS1,chr20:43592439-43595099,E3,E4,NOTEST,0.150309,0.100104,-0.586425,0,1,1
STK40,chr1:36805224-36851485,E3,E4,OK,20.58,20.5971,0.00119595,0.00796842,0.98975,0.992445
STL,chr6:125229391-125284173,E3,E4,OK,0.446075,0.351557,-0.343529,-1.11405,0.0515,0.0938284
STMN1,chr1:26210676-26233368,E3,E4,OK,562.441,288.857,-0.961345,-6.63536,5.00E-05,0.000167183
STMN2,chr8:80523048-80578410,E3,E4,OK,2.80172,9.12234,1.70309,8.3397,5.00E-05,0.000167183
STMN3,chr20:62271057-62284963,E3,E4,OK,44.8743,29.3314,-0.613442,-4.10494,5.00E-05,0.000167183
STMN4,chr8:27093813-27115903,E3,E4,OK,13.2,10.7299,-0.298898,-1.61592,0.00505,0.0119037
STMND1,chr6:17102488-17131603,E3,E4,NOTEST,0,0.0760174,Inf,0,1,1
STOM,chr9:124101265-124132582,E3,E4,OK,23.3865,41.2854,0.819958,5.47221,5.00E-05,0.000167183
STOML1,chr15:74275558-74286963,E3,E4,OK,7.33929,7.53482,0.0379318,0.198928,0.72035,0.800978
STOML2,chr9:35099888-35103154,E3,E4,OK,71.8646,67.2808,-0.0950875,-0.633271,0.26035,0.366007
STOML3,chr13:39540061-39564996,E3,E4,NOTEST,0.0188957,0.291988,3.94978,0,1,1
STON1,chr2:48757063-49003656,E3,E4,OK,0.874153,17.3257,4.30888,21.0474,5.00E-05,0.000167183
STON1-GTF2A1L,chr2:48757063-49003656,E3,E4,OK,0.0693164,1.59998,4.52871,4.2571,5.00E-05,0.000167183
STON2,chr14:81726993-81893748,E3,E4,OK,0.638932,3.49836,2.45294,11.9876,5.00E-05,0.000167183
STOX1,chr10:70587293-70655209,E3,E4,OK,2.15809,2.95739,0.454572,1.99257,0.00025,0.000762626
STOX2,chr4:184826508-184938875,E3,E4,OK,5.60359,3.46861,-0.691992,-4.01008,5.00E-05,0.000167183
STPG1,chr1:24645811-24741587,E3,E4,OK,1.65414,2.24457,0.440354,1.76227,0.00235,0.00601645
STPG2,chr4:98480024-99064391,E3,E4,NOTEST,0.0407043,0.0501664,0.301538,0,1,1
STRA13,chr17:79976578-79980785,E3,E4,OK,29.1951,27.8141,-0.0699065,-0.392402,0.49745,0.609007
STRA6,chr15:74471807-74502046,E3,E4,OK,0.805873,0.0600604,-3.74607,-2.26324,0.0383,0.0725452
STRA8,chr7:134916730-134943244,E3,E4,NOTEST,0,0,0,0,1,1
STRADA,chr17:61780191-61819330,E3,E4,OK,15.8854,17.1805,0.113076,0.703736,0.2204,0.319912
STRADB,chr2:202316391-202345574,E3,E4,OK,34.0709,27.6461,-0.301463,-2.00328,0.00045,0.00131916
STRAP,chr12:16035287-16056410,E3,E4,OK,125.584,126.516,0.0106638,0.0732011,0.89695,0.929578
STRBP,chr9:125883907-126030855,E3,E4,OK,7.78431,8.00813,0.0408964,0.266424,0.64085,0.736441
STRC,chr15:43663312-43910998,E3,E4,NOTEST,0.0103576,0.0301937,1.54356,0,1,1
STRIP1,chr1:110574198-110597263,E3,E4,OK,17.1548,16.0243,-0.098349,-0.634585,0.26825,0.374776
STRIP2,chr7:129074273-129128239,E3,E4,OK,3.70181,3.06635,-0.271709,-1.52274,0.0079,0.0178551
STRN,chr2:37064840-37193615,E3,E4,OK,3.8067,2.44297,-0.639903,-4.09021,5.00E-05,0.000167183
STRN3,chr14:31363004-31565656,E3,E4,OK,16.0789,13.969,-0.202935,-1.15247,0.0451,0.0835493
STRN4,chr19:47222767-47261832,E3,E4,OK,35.161,37.1788,0.0805027,0.480855,0.39885,0.513132
STS,chrX:7137471-7272682,E3,E4,OK,2.40739,4.42777,0.879108,5.1073,5.00E-05,0.000167183
STT3A,chr11:125462738-125491280,E3,E4,OK,76.4953,83.3858,0.12443,0.853707,0.13695,0.216335
STT3B,chr3:31574490-31677556,E3,E4,OK,59.4833,131.45,1.14396,7.82592,5.00E-05,0.000167183
STUB1,chr16:730114-734439,E3,E4,OK,30.84,34.0676,0.143597,0.580636,0.3112,0.422545
STX10,chr19:13254871-13261188,E3,E4,OK,37.3004,29.8277,-0.322536,-2.02886,5.00E-04,0.00145584
STX11,chr6:144471653-144513076,E3,E4,OK,0.484213,0.751242,0.633636,2.36034,5.00E-05,0.000167183
STX12,chr1:28099693-28150963,E3,E4,OK,40.7394,34.1923,-0.252753,-1.70836,0.00295,0.00737622
STX16,chr20:57226308-57290900,E3,E4,OK,28.0053,19.211,-0.543765,-3.18188,5.00E-05,0.000167183
STX16-NPEPL1,chr20:57226308-57290900,E3,E4,OK,1.8004,0.552738,-1.70364,-1.37378,0.02675,0.0528836
STX17,chr9:102668914-102736818,E3,E4,OK,8.92251,8.54968,-0.061579,-0.404592,0.47895,0.591635
STX18,chr4:4387982-4543775,E3,E4,OK,15.7568,16.3861,0.0564922,0.231857,0.6821,0.770994
STX19,chr3:93698982-93774522,E3,E4,NOTEST,0.185883,0.0842118,-1.1423,0,1,1
STX1A,chr7:73113534-73134017,E3,E4,OK,1.55909,3.19642,1.03576,4.02315,5.00E-05,0.000167183
STX1B,chr16:31000576-31021829,E3,E4,OK,0.872943,1.67516,0.940343,3.96632,5.00E-05,0.000167183
STX2,chr12:131274144-131323819,E3,E4,OK,15.087,12.5151,-0.26963,-1.73164,0.0025,0.00636916
STX3,chr11:59522531-59573355,E3,E4,OK,2.60764,2.94604,0.176033,1.0055,0.079,0.136005
STX4,chr16:31044415-31051488,E3,E4,OK,19.651,19.6323,-0.00136971,-0.00828667,0.98925,0.992273
STX5,chr11:62574331-62599563,E3,E4,OK,24.9865,23.9113,-0.063458,-0.405142,0.48265,0.59528
STX6,chr1:180942175-180992046,E3,E4,OK,16.9655,11.7928,-0.524696,-3.45219,5.00E-05,0.000167183
STX7,chr6:132778662-132834337,E3,E4,OK,19.479,17.6214,-0.144589,-0.963943,0.0864,0.146853
STX8,chr17:9153787-9479275,E3,E4,OK,38.1436,42.0556,0.140857,0.847925,0.1426,0.223669
STXBP1,chr9:130374485-130454995,E3,E4,OK,16.777,19.1287,0.189253,1.25287,0.03005,0.0586323
STXBP2,chr19:7701986-7712760,E3,E4,OK,5.81228,4.5294,-0.359786,-1.76645,0.0014,0.00375755
STXBP3,chr1:109289284-109352148,E3,E4,OK,22.4268,18.5333,-0.2751,-1.77819,0.0017,0.00447602
STXBP4,chr17:53046125-53241449,E3,E4,OK,2.42741,2.80442,0.208282,1.15958,0.04315,0.0805894
STXBP5,chr6:147162524-147711612,E3,E4,OK,1.88561,1.37102,-0.459783,-2.51612,5.00E-05,0.000167183
STXBP5-AS1,chr6:147162524-147711612,E3,E4,NOTEST,0.200559,0.131812,-0.605548,0,1,1
STXBP5L,chr3:120627049-121143608,E3,E4,OK,0.0177438,0.464375,4.7099,5.89285,1.00E-04,0.00032265
STXBP6,chr14:25281305-25519095,E3,E4,OK,0.0152393,0.906658,5.89469,2.69331,0.2515,0.355652
STYK1,chr12:10771537-10826891,E3,E4,NOTEST,0.0110241,0.0281436,1.35215,0,1,1
STYX,chr14:53196882-53241705,E3,E4,OK,8.74451,6.7301,-0.377751,-2.39151,1.00E-04,0.00032265
STYXL1,chr7:75625654-75677321,E3,E4,OK,13.0545,16.4182,0.330753,1.89369,0.001,0.00274895
SUB1,chr5:32585604-32604185,E3,E4,OK,58.5965,59.1986,0.0147481,0.101027,0.86,0.904192
SUCLA2,chr13:48516790-48575462,E3,E4,OK,30.7692,27.4801,-0.1631,-1.06965,0.0632,0.112088
SUCLG1,chr2:84650646-84686586,E3,E4,OK,52.4115,46.8151,-0.16291,-1.07439,0.05735,0.103069
SUCLG2,chr3:67410883-67705038,E3,E4,OK,28.0297,20.2697,-0.467629,-3.02578,5.00E-05,0.000167183
SUCNR1,chr3:151591430-151599876,E3,E4,NOTEST,0.0251245,0,#NAME?,0,1,1
SUCO,chr1:172502259-172580973,E3,E4,OK,25.9298,25.8671,-0.00348905,-0.0237441,0.96705,0.977734
SUDS3,chr12:118814357-118855840,E3,E4,OK,12.9069,10.9568,-0.236305,-1.54277,0.0069,0.0157959
SUFU,chr10:104263718-104393214,E3,E4,OK,6.20028,5.10019,-0.281782,-1.62809,0.00475,0.0112633
SUGP1,chr19:19387321-19431321,E3,E4,OK,17.9382,17.5179,-0.0341994,-0.214226,0.70605,0.790667
SUGP2,chr19:19101696-19144380,E3,E4,OK,47.3925,40.7815,-0.216744,-1.46189,0.01115,0.0243337
SUGT1,chr13:53226830-53262433,E3,E4,OK,15.0343,15.0826,0.00463162,0.0275331,0.96065,0.973479
SUGT1P1,chr9:33504534-33511164,E3,E4,OK,3.06482,1.66473,-0.880515,-2.30118,0.00045,0.00131916
SUGT1P3,chr13:41363546-41495910,E3,E4,OK,0.569164,0.59551,0.0652801,0.051804,0.92705,0.950143
SULF1,chr8:70378858-70573147,E3,E4,OK,0.0215068,10.3046,8.90428,6.96865,5.00E-05,0.000167183
SULF2,chr20:46286149-46415360,E3,E4,OK,36.5585,128.638,1.81504,12.5262,5.00E-05,0.000167183
SULT1A1,chr16:28616907-28634907,E3,E4,OK,0.256339,0.428697,0.741904,0.822658,0.0583,0.104515
SULT1A2,chr16:28603263-28608391,E3,E4,NOTEST,0,0,0,0,1,1
SULT1A4,chr16:30204255-30218248,E3,E4,NOTEST,0.0223848,0.0130158,-0.782258,0,1,1
SULT1B1,chr4:70592685-70626430,E3,E4,NOTEST,0.0401893,0.0259301,-0.632184,0,1,1
SULT1C2,chr2:108905094-108926371,E3,E4,NOTEST,0.0949785,0.199055,1.06749,0,1,1
SULT1C2P1,chr2:108938693-108970254,E3,E4,NOTEST,0.0531888,0.120508,1.17993,0,1,1
SULT1C3,chr2:108863650-108881807,E3,E4,NOTEST,0,0.0321579,Inf,0,1,1
SULT1C4,chr2:108994420-109004270,E3,E4,OK,1.6777,3.98268,1.24725,4.77726,5.00E-05,0.000167183
SULT1E1,chr4:70706929-70725870,E3,E4,OK,0.348479,0.58677,0.751723,1.45299,0.01225,0.0264326
SULT2A1,chr19:48373722-48389654,E3,E4,OK,1.03268,0.963994,-0.0992984,-0.311912,0.58825,0.690606
SULT2B1,chr19:49055428-49102684,E3,E4,NOTEST,0.0439659,0.104661,1.25127,0,1,1
SULT4A1,chr22:44220386-44258378,E3,E4,OK,0.22249,1.47806,2.73189,5.77243,5.00E-05,0.000167183
SULT6B1,chr2:37394962-37415690,E3,E4,NOTEST,0,0,0,0,1,1
SUMF1,chr3:4402828-4508966,E3,E4,OK,15.8242,23.2306,0.553896,3.5178,5.00E-05,0.000167183
SUMF2,chr7:56131916-56160689,E3,E4,OK,51.0695,51.5548,0.0136451,0.0807464,0.88955,0.924701
SUMO1,chr2:203070902-203103322,E3,E4,OK,76.6016,71.532,-0.0987857,-0.671174,0.2416,0.344914
SUMO1P1,chr20:52491039-52492248,E3,E4,NOTEST,0,0.0154481,Inf,0,1,1
SUMO1P3,chr1:160258376-160328742,E3,E4,NOTEST,0.0839778,0,#NAME?,0,1,1
SUMO2,chr17:73163824-73179098,E3,E4,OK,277.685,244.149,-0.18569,-1.27526,0.0247,0.0493804
SUMO3,chr21:46225531-46238044,E3,E4,OK,43.4623,48.5433,0.159506,1.06163,0.06135,0.109308
SUMO4,chr6:149639435-149732747,E3,E4,OK,0.697079,0.701688,0.00950629,0.00328906,0.86445,0.907543
SUN1,chr7:855193-914557,E3,E4,OK,35.0801,32.6762,-0.102409,-0.631423,0.2698,0.376523
SUN2,chr22:39130718-39152024,E3,E4,OK,22.5257,15.5962,-0.530375,-3.5268,5.00E-05,0.000167183
SUN3,chr7:48026745-48068716,E3,E4,NOTEST,0.0338055,0.0609257,0.849793,0,1,1
SUN5,chr20:31571580-31592239,E3,E4,NOTEST,0,0,0,0,1,1
SUOX,chr12:56391042-56399309,E3,E4,OK,9.88138,9.14685,-0.111437,-0.644287,0.26435,0.370321
SUPT16H,chr14:21819630-21852425,E3,E4,OK,42.1861,39.742,-0.0861011,-0.589519,0.29895,0.408705
SUPT20H,chr13:37574677-37633850,E3,E4,OK,24.4002,19.4251,-0.328968,-1.87248,9.00E-04,0.00249084
SUPT20HL1,chrX:24380877-24383541,E3,E4,NOTEST,0,0,0,0,1,1
SUPT20HL2,chrX:24328978-24331432,E3,E4,NOTEST,0,0.00637082,Inf,0,1,1
SUPT3H,chr6:44794466-45518819,E3,E4,OK,4.84502,2.83241,-0.77447,-2.18063,7.00E-04,0.00197903
SUPT4H1,chr17:56378587-56494931,E3,E4,OK,39.531,41.6575,0.0755905,0.404667,0.4748,0.588096
SUPT5H,chr19:39936185-39967308,E3,E4,OK,40.1202,40.7449,0.0222888,0.151566,0.7908,0.854888
SUPT6H,chr17:26989301-27029249,E3,E4,OK,27.1709,26.2479,-0.0498615,-0.340051,0.556,0.662166
SUPT7L,chr2:27848505-27917847,E3,E4,OK,19.7645,19.0398,-0.053895,-0.219941,0.6951,0.781707
SUPV3L1,chr10:70939992-70968849,E3,E4,OK,11.4423,10.8529,-0.0762961,-0.461598,0.41635,0.530808
SURF1,chr9:136218665-136223361,E3,E4,OK,28.1174,22.3336,-0.33225,-1.95281,7.00E-04,0.00197903
SURF2,chr9:136223420-136228040,E3,E4,OK,15.4533,18.0947,0.227655,1.17779,0.0414,0.0777441
SURF4,chr9:136228339-136242970,E3,E4,OK,79.696,91.9461,0.206281,1.41768,0.0126,0.0271335
SURF6,chr9:136197551-136203047,E3,E4,OK,15.0471,17.8685,0.24794,1.55852,0.0059,0.0137336
SUSD1,chr9:114758831-115112545,E3,E4,OK,16.1968,12.6178,-0.360245,-1.5114,0.00925,0.0205707
SUSD2,chr22:24577443-24585074,E3,E4,OK,0.0716634,2.59842,5.18026,7.05931,5.00E-05,0.000167183
SUSD3,chr9:95820988-95847415,E3,E4,NOTEST,0,0.0929114,Inf,0,1,1
SUSD4,chr1:223394160-223537544,E3,E4,OK,0,0.994685,Inf,NA,5.00E-05,0.000167183
SUSD5,chr3:33191536-33260707,E3,E4,OK,0.86195,1.15163,0.418005,1.73218,0.00195,0.00506624
SUV39H1,chrX:48555130-48567406,E3,E4,OK,2.11031,2.18298,0.0488427,0.21069,0.71275,0.795398
SUV39H2,chr10:14920781-14946304,E3,E4,OK,7.4833,5.92056,-0.337941,-1.93849,5.00E-04,0.00145584
SUV420H1,chr11:67923506-67980784,E3,E4,OK,20.9759,17.0027,-0.302971,-1.91373,6.00E-04,0.00171819
SUV420H2,chr19:55851220-55859489,E3,E4,OK,2.86892,3.30388,0.203654,0.925636,0.1039,0.171764
SUZ12,chr17:30264043-30328057,E3,E4,OK,11.3992,11.4106,0.00144032,0.00934013,0.9874,0.99101
SUZ12P1,chr17:29036625-29097068,E3,E4,OK,12.6375,8.80478,-0.521352,-2.2531,5.00E-05,0.000167183
SV2A,chr1:149874871-149889434,E3,E4,OK,16.7443,20.4517,0.288546,1.92538,6.00E-04,0.00171819
SV2B,chr15:91643181-91844539,E3,E4,NOTEST,0.167003,0.24909,0.576795,0,1,1
SV2C,chr5:75379304-75621416,E3,E4,NOTEST,0.00676763,0.0470015,2.79598,0,1,1
SVEP1,chr9:113127528-113342160,E3,E4,OK,0.0197941,2.20802,6.80154,9.86913,5.00E-05,0.000167183
SVIL,chr10:29746276-30024730,E3,E4,OK,9.77198,15.5482,0.670028,4.47548,5.00E-05,0.000167183
SVIP,chr11:22843597-22851382,E3,E4,OK,14.8222,17.0385,0.20104,1.16359,0.0447,0.0829609
SVOP,chr12:109304657-109458845,E3,E4,OK,0.616897,0.942368,0.61126,2.1007,3.00E-04,0.00090347
SVOPL,chr7:138279029-138363790,E3,E4,NOTEST,0,0.0282007,Inf,0,1,1
SWAP70,chr11:9685627-9774507,E3,E4,OK,8.38165,5.66256,-0.565779,-3.51689,5.00E-05,0.000167183
SWI5,chr9:131038424-131051268,E3,E4,OK,14.2597,20.5816,0.52941,2.86222,5.00E-05,0.000167183
SWSAP1,chr19:11485382-11487627,E3,E4,OK,2.47459,2.80306,0.17981,0.690587,0.2338,0.336131
SWT1,chr1:185087217-185260913,E3,E4,OK,2.902,2.26353,-0.358472,-1.31625,0.0225,0.0454819
SYAP1,chrX:16737706-16780807,E3,E4,OK,51.4548,49.9571,-0.0426181,-0.292372,0.6043,0.704084
SYBU,chr8:110586404-110704020,E3,E4,OK,19.2674,15.2663,-0.335806,-2.15213,2.00E-04,0.000620378
SYCE1,chr10:135367403-135383462,E3,E4,NOTEST,0,0,0,0,1,1
SYCE1L,chr16:77224835-77246976,E3,E4,OK,11.39,13.9954,0.297188,0.797538,0.15735,0.243167
SYCE2,chr19:13001973-13030086,E3,E4,OK,1.052,0.617114,-0.76953,-0.744948,0.1917,0.28578
SYCE3,chr22:50989540-51001328,E3,E4,OK,0.643299,1.0127,0.654644,0.589428,0.34995,0.462718
SYCN,chr19:39693561-39694906,E3,E4,NOTEST,0,0,0,0,1,1
